四时运灰琯 一夕变冬春 送寒余雪尽 迎岁早梅新
上弦明月半 激箭流星远 落雁带书惊 啼猿映枝转
初秋玉露清 早雁出空鸣 隔云时乱影 因风乍含声
岸曲丝阴聚 波移带影疏 还将眉里翠 来就镜中舒
贞条障曲砌 翠叶贯寒霜 拂牖分龙影 临池待凤翔
散影玉阶柳 含翠隐鸣蝉 微形藏叶里 乱响出风前
盘根直盈渚 交干横倚天 舒华光四海 卷叶荫三川
近谷交萦蕊 遥峰对出莲 径细无全磴 松小未含烟
疾风知劲草 板荡识诚臣 勇夫安识义 智者必怀仁
太液仙舟迥 西园隐上才 未晓征车度 鸡鸣关早开
烟生遥岩隐 月落半崖阴 连山惊鸟乱 隔岫断猿吟
醽醁胜兰生 翠涛过玉瓒 千日醉不醒 十年味不败
河曲回千里 关门限二京 所嗟非恃德 设险到天平
瑞露垂花绶 寒冰澈宝轮 对兹台上月 聊以庆佳辰
啄木觜距长 凤凰羽毛短 苦嫌松桂寒 任逐桑榆暖
仙客厌人间 孤云比性闲 话离情未已 烟水万重山
辇路生春草 上林花发时 凭高何限意 无复侍臣知
注想待元老 识君恨不早 我家柱石衰 忧来学丘祷
款塞旋征骑 和戎委庙贤 倾心方倚注 叶力共安边
明朝游上苑 火急报春知 花须连夜发 莫待晓风吹
朝来临镜台 妆罢暂裴回 千金始一笑 一召讵能来
浮生共憔悴 壮岁失婵娟 汗手遗香渍 痕眉染黛烟
侁自肩如削 难胜数缕绦 天香留凤尾 余暖在檀槽
荷恩承顾托 执契恭临抚 庙略静边荒 天兵耀神武
受律辞元首 相将讨叛臣 咸歌破阵乐 共赏太平人
四海皇风被 千年德水清 戎衣更不著 今日告功成
主圣开昌历 臣忠奉大猷 君看偃革后 便是太平秋
明君陈大礼 展币祀圆丘 雅乐声齐发 祥云色正浮
上天垂景贶 哲后举鸾觞 明德今方祚 邦家万世昌
圭瓒方陈礼 干旄乃象功 成文非羽籥 猛势若罴熊
