皎,千岩,趣,况
宸,铅华,态,争奈
老翁,鸡,无,还
禁苑,风动,鼓诚,棹
接爽,齐,江南,水西
大礼,锵,云,畅
精御,隆暑,冀,虔襟
分,方,文化,呈
云,云,霄兮,征
碧,为忆,下泪,裙
香,秋,乍摇,嫩
桂,污,尽日,何必
层,凤鸾,监,吴歈入
金,开时,挑,前不尽
老见,消魂,条,人头
牙,王,留,今朝
赫赫,华新,宫殿,人
陌头,愁,人情,一叶
情,千,风光,金
常,涉仙,乘鸾入,云乡
壑,接日,回岩,看曾
近,犹,看,出行
会昌,叶辰,德远,天
璧,珠流彩,黄钟,祚昌
礼献,驭,黍,征
历数,德钦,撰,降闓阳
祀,笙,历,风乐
协六,倘佯,人神,天
敬,音容,景,邕
扆,灵,泰,静
精御,隆暑,俯兰樽,虔襟
登,龙雩,昭,朱
征,安,云门,天
笙歌籥舞,鹭,调露,遽践
飘绛,剩,荐,摐金会
仪气爽,素,羞荐,安
羽,玉,七德,穰
树,扣,德,集
八,万,光,表盛明
羽籥,六,愉,祚兮
分荐,递,泰,四时
分,方,文化,呈
云,云,霄兮,征
祥和,生,极,文武
神道,八,化,登祥
文化,成,泰,长
昂,厉,农神,岂
光,茂德表,要道,人
开,肃,儒,德施
光,方,禋克,惟馨
赫赫,皇皇,乱,命
敷盛,阐,恭,蘋藻
协六,八,人神,天
送,光,人,享肃
清,瑶台,响,昭融
已判,分,蔽日,鹤
崇文,奋,繇来,威乐
音,六佾,沧溟,开
阐化,威藉,拂,持
干旄,退殊,三,仪制
容,行列,山,庙
气兮,规兮,服遐裔,息
音,朱,雷鼗,玉戚相
永颂,清,盈,千万
表,容,兆,祖乐
金,临洮,单于,乱斫
黄砂,孤,杨,玉门关
杨,攀折,衰,恩
蘋,江神,敢,金钱
消,日,锁,绿水
还,烟华贴,尽著绣,蚕
月,人不移,汉,师
惊,傍,歌舞,猎归
恩,相,貌,地魂
画,黄金,琵琶,汉宫
半斜,胡,水,汉家
子卿,汉月,安,玉楼台
梧桐,架辘,天,瓶
舞竟,满,死,西陵
台,深映,须,歌舞
满,管强,成,泪珠
开,欢,自断,曲
雁,裁,征,不知
门,还流,蛾眉明,愁
沉沉,漏,千,恨
愁,亦,持,拨
门,梦魂,开,正
泉,流,未,杵六
墙,碧云端,语,看
望见,花,信,云
信,萋萋,花,倢车
花,吹,漏,共
叶裙,下,滴酒,水生
枨,青莎肉,后,花
人夜,君,锁,山山
满池,鸣,唱,昨夜
寻,三,冶容,金
郁,镜水,芳,中流
波,荷花,笑,落水
沉沉,哭处,草,风
妃,山,有菱,照旧
凤兮,山,结,高翔
剑,白虹,清平,衣
点斓,青丝,章,杨
骑,皆称,辔,金吾
虾蟆陵,少年,醉,骄不胜
漠,那离,鞭,江南
豪,筑,许,毛
